envo_id,envo_uri,label,definition,synonyms,match_score,match_reason,matched_reference_terms
ENVO:01001733,http://purl.obolibrary.org/obo/ENVO_01001733,anabatic wind,An upslope wind driven by heating at the slope surface under fair-weather conditions.,,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match | token_overlap>=0.60,anabatic wind | anabatic winds
ENVO:01000793,http://purl.obolibrary.org/obo/ENVO_01000793,atmospheric wind,,A mass gaseous flow which occurrs in a planet's atmosphere due to internal pressure disequilibria. | wind,100,contains_heliophysics_anchor | domain_token_hits>=3 | exact_label_match | fuzzy_label_match>=0.92 | phrase_match | token_overlap>=0.60,atmospheric wind | atmospheric winds
ENVO:01001726,http://purl.obolibrary.org/obo/ENVO_01001726,fall wind,A katabatic wind during which the low temperature and increased density of a cold mass of atmospheric gas accelerates its descent.,mistral | papagayo | vardar,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match | token_overlap>=0.60,fall wind
ENVO:01001746,http://purl.obolibrary.org/obo/ENVO_01001746,glacier wind,A drainage wind which flows along the icy surface of a glacier.,,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,glacier wind
ENVO:21001214,http://purl.obolibrary.org/obo/ENVO_21001214,infrared radiation,"A radiation process during which electromagnetic waves or their quanta are emitted when molecules change their rotational-vibrational movements, usually at wavelengths between 760 nm and 1 mm.",IR radiation | infra-red radiation,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,infrared radiation | radiation
ENVO:21001219,http://purl.obolibrary.org/obo/ENVO_21001219,ionizing radiation,A radiation process during which electromagnetic waves or their quanta are emitted with sufficient energy to disrupt molecular bonds or alter the electron number of atoms.,ionising radiation,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,ionising radiation | ionizing radiation | radiation
ENVO:01000545,http://purl.obolibrary.org/obo/ENVO_01000545,ionosphere,"The ionosphere is a layer of the Earth's atmosphere which extends from about 60 to 1,000 kilometers above the planetary surface and is ionised by solar radiation. It includes the thermosphere and parts of the mesosphere and exosphere.",ionosphere,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,ionosphere
ENVO:01001730,http://purl.obolibrary.org/obo/ENVO_01001730,jet-effect wind,"A wind which is driven by the acceleration of flow through a gap, constriction, or channel resulting from large-scale pressure gradient, or by Venturi acceleration through a constricting passage.",,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match | token_overlap>=0.60,jet effect wind
ENVO:01001719,http://purl.obolibrary.org/obo/ENVO_01001719,katabatic wind,An atmospheric wind during which cold atmospheric gas flows downwards towards the surface of an astronomical body.,,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match | token_overlap>=0.60,katabatic wind
ENVO:01001194,http://purl.obolibrary.org/obo/ENVO_01001194,magnetosphere,A site in which charged particles are influenced by an astronomical body's magnetic field.,,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,magnetosphere
ENVO:01001731,http://purl.obolibrary.org/obo/ENVO_01001731,mountain-gap wind,"A jet-effect which passes through a gap, constriction, or channel between mountains in a mountain range or between ranges themselves.",düsenwind | kossava | tehuantepecer,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match | token_overlap>=0.60,mountain gap wind
ENVO:01001857,http://purl.obolibrary.org/obo/ENVO_01001857,outgoing longwave radiation,"An infrared radiation process which 1) transmits radiant energy has wavelengths between 3.0 and 100 μm, 2) is emitted from a planet and its atmosphere out to space in the form of thermal radiation.",outgoing long-wave radiation | terrestrial long-wave flux | up-welling long-wave radiation,100,contains_heliophysics_anchor | domain_token_hits>=3 | exact_label_match | fuzzy_label_match>=0.92 | phrase_match | token_overlap>=0.60,longwave radiation | outgoing longwave radiation | radiation
ENVO:01003002,http://purl.obolibrary.org/obo/ENVO_01003002,particle,A mass of solid material which is either 1) a minute fragment of a larger mass or 2) one of a collection of small masses composing an aggregate.,grain,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,particle
ENVO:01000821,http://purl.obolibrary.org/obo/ENVO_01000821,photosphere,"An astronomical body part which is composed of those parts of a star, distal from the star's core, from which light is radiated into space.",,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,photosphere
ENVO:01001864,http://purl.obolibrary.org/obo/ENVO_01001864,photosynthetically active radiation,"Electromagnetic radidation which involves radiant energy in a spectral range (wave band) between 400 to 700 nanometers, that photosynthetic organisms are able to use in the process of photosynthesis.",PAR,100,contains_heliophysics_anchor | domain_token_hits>=3 | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,photosynthetically active radiation | radiation
ENVO:01000798,http://purl.obolibrary.org/obo/ENVO_01000798,plasma,"A material entity which is composed of a volume of unbound positive and negative particles in roughly equal numbers, conducts electricity, and possesses internal magnetic fields.",,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,plasma
ENVO:01001023,http://purl.obolibrary.org/obo/ENVO_01001023,radiation,A process during which energy is emitted or transmitted in the form of waves or particles through space or a material medium.,,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,radiation
ENVO:01001861,http://purl.obolibrary.org/obo/ENVO_01001861,shortwave radiation,"An electromagnetic radiation process during which radiant energy with wavelengths in the visible, near-ultraviolet, or near-infrared spectra is realised.",short-wave radiation,100,contains_heliophysics_anchor | domain_token_hits>=3 | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,radiation | short wave | shortwave radiation
ENVO:01001080,http://purl.obolibrary.org/obo/ENVO_01001080,space weather,Weather which inheres in outer space.,,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match | token_overlap>=0.60,space weather
ENVO:01000541,http://purl.obolibrary.org/obo/ENVO_01000541,thermosphere,"The thermosphere is a part of the earth's atmosphere that begins at about 50 miles (80 kilometers) above the earth's surface, extends to outer space, and is characterized by steadily increasing temperature with height",,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,thermosphere
