acronyms,terms
AAS,American Astronomical Society
ACE,Advanced Composition Explorer
ACR,anomalous cosmic ray
AFOSR,Air Force Office of Scientific Research
AFRL,Air Force Research Laboratory
AFWA,Air Force Weather Agency
AGS,Atmospheric and Geospace Sciences Division
AGU,American Geophysical Union
AIA,Atmospheric Imaging Assembly
AIM,atmosphere-ionosphere-magnetosphere (system); Aeronomy of Ice in the Mesosphere 
AIMI,atmosphere-ionosphere-magnetosphere interactions
AIP,American Institute of Physics
AMISR,Advanced Modular Incoherent Scatter Radar
AMPERE,Active Magnetosphere and Planetary Electrodynamics Response Experiment
AMPTE,Active Magnetospheric Particle Tracer Explorers
AO,Announcement of Opportunity
APS,American Physical Society; active pixel sensor
AST,Division of Astronomical Sciences
ATST,Advanced Technology Solar Telescope
AU,astronomical unit
AURA,Association of Universities for Research in Astronomy
AXAF,Advanced X-ray Astrophysics Facility
BARREL,Balloon Array for RBSP Relativistic Electron Losses
BBSO,Big Bear Solar Observatory
CADRE,CubeSat Investigating Atmospheric Density Response to Extreme Driving
CAREER,Faculty Early Career Development
CASSIOPE,"Cascade, Small Satellite, and Ionospheric Polar Explorer"
CATE,cost and technical evaluation
CAWSES,Climate and Weather of the Sun-Earth System
CCD,charge-coupled device
CCE,Charge Composition Explorer
CCMC,Community Coordinated Modeling Center
CDC,Concept Design Center
CEDAR,"Coupling, Energetics, and Dynamics of Atmospheric Regions"
CHAMP,Challenging Mini-Satellite Payload
CINDI,Coupled Ion Neutral Dynamic Investigation
CINEMA,"CubeSat for Ions, Neutrals, Electrons, Magnetic Fields"
CIR,corotating interaction region
CISM,Center for Integrated Space Weather Modeling
CME,coronal mass ejection
CMOS,Complementary Metal Oxide Semiconductor
C/No,carrier signal-to-noise strength
C/NOFS,Communications/Navigation Outage Forecasting System
COBE,Cosmic Background Explorer
CoBRA,Complexity Based Risk Assessment
COSMIC,"Constellation Observing System for Meteorology, Ionosphere, and Climate"
COSMO,Coronal Solar Magnetism Observatory
COTS,commercial off-the-shelf
CPU,central processing unit
CRRES,Combined Release and Radiation Effects Satellite
CSSWE,Colorado Student Space Weather Experiment
DASI,distributed array of small instruments
DC,direct current
DICE,Dynamic Ionosphere Cubesat Experiment
DLR,German Aerospace Center
DMSP,Defense Meteorological Satellites Program
DOD,Department of Defense 
DOE,Department of Energy 
DRIVE,"Diversify, Realize, Integrate, Venture, Educate"
DSCOVR,Deep Space Climate Observatory
DYNAMIC,Dynamical Neutral Atmosphere-Ionosphere Coupling (mission)
EASCO,Earth-Affecting Solar Causes Observatory
ECT,"Energetic Particle, Composition, and Thermal Plasma Suite"
EIA,equatorial ionization anomaly
EISCAT,European Incoherent Scatter Scientific Association
ELaNa,Educational Launch of Nanosatellites
ENA,energetic neutral atom
ENASI,Energetic Neutral Atom Spectroscopic Imager
EPO,education and public outreach 
e-POP,Enhanced Polar Outflow Probe
EPP,energetic particle precipitation
ESA,European Space Agency
ESCAPE,"Energetics, Sources and Couplings of Atmosphere-Plasma Escape"
ETA,equatorial temperature anomaly
EUV,extreme ultraviolet
EUVI,extreme ultraviolet imager
EVE,Extreme Ultraviolet Variability Experiment
FAA,Federal Aviation Administration
FASR,Frequency-Agile Solar Radiotelescope
FAST,Fast Aurora Snapshot
FDSS,Faculty Development in Space Science
FIREBIRD,"Focused Investigations of Relativistic Electron Burst Intensity, Range, and Dynamics"
FOXSI,Focusing Optics X-ray Spectroscopic Imager
FUV,far ultraviolet
FWHM,"full-width, half-maximum"
FY,fiscal year
GCR,galactic cosmic ray
GDC,Geospace Dynamics Constellation
GEM,Geospace Environment Modeling
GEO,geostationary Earth orbit
GI,guest investigator
GIC,geomagnetically induced current; ground-induced current
GNSS,Global Navigation Satellite Systems
GOCE,Gravity Field and Steady-State Ocean Circulation Explorer
GOES,Geostationary Operational Environmental Satellite
GONG,Global Oscillation Network Group
GPS,Global Positioning System
GRACE,Gravity Recovery and Climate Experiment
GRIPS,Gamma-Ray Imager/Polarimeter for Solar Flares
GRIS,Gamma-Ray Imaging Spectrometer 
GSFC,Goddard Space Flight Center
GSRP,Graduate Student Research Program
GUVI,Global Ultraviolet Imager
GW,gravity waves
HAARP,High Frequency Active Auroral Research Program
HAO,High Altitude Observatory
HEAO,High Energy Astronomy Observatory
HEIDI,High Energy Imaging Device
HEO,high Earth orbit (above GEO)
HF,high frequency
HI,Heliospheric Imager
HIREGS,High Resolution Gamma-Ray and Hard X-Ray Spectrometer
HITDP,Heliophysics Instrument and Technology Development Program 
HPDE,Heliophysics Data Environment
HSC,heliophysics science center
HSO,Heliophysics Systems Observatory
HSS,high-speed solar wind streams
HSW,halo solar wind
HTP,Heliophysics Theory Program
HXR,hard X-ray
