reference_term,status,nearest_envo_label_1,nearest_envo_label_2,nearest_envo_label_3
2 d passive l band microwave interferometer,missing_in_envo,,,
3 d plasma and energetic particle investigation wind,missing_in_envo,,,
absorbed solar radiation,missing_in_envo,infrared stellar radiation,stellar radiation,radio wave stellar radiation
acoustic gravity wave,missing_in_envo,acoustic radiation,conductivity of water,dacitic lava
active microwave instrument,missing_in_envo,medical instrument,attractive environment,cultivated environment
advanced composition explorer space radiation laboratory california institute of technology,missing_in_envo,,,
advanced microwave moisture sounder,missing_in_envo,microwave stellar radiation,,
advanced microwave precipitation radiometer,missing_in_envo,chemical precipitation process,hydrological precipitation process,agricultural specialisation process
advanced microwave radiometer,missing_in_envo,microwave radiation,net shortwave radiation,microwave stellar radiation
advanced microwave radiometer 2,missing_in_envo,microwave radiation,net shortwave radiation,microwave stellar radiation
advanced microwave radiometer c,missing_in_envo,microwave radiation,net shortwave radiation,microwave stellar radiation
advanced microwave scanning radiometer,missing_in_envo,microwave stellar radiation,,
advanced microwave scanning radiometer earth observing system science investigator led processing system,missing_in_envo,,,
advanced microwave scanning radiometer eos,missing_in_envo,microwave stellar radiation,,
advanced microwave scanning radiometer sea ice product validation,missing_in_envo,,,
advanced microwave sounding unit a,missing_in_envo,concrete masonry unit,breast screening unit facility,
advanced microwave sounding unit b,missing_in_envo,concrete masonry unit,,
advanced technology microwave sounder,missing_in_envo,closed ecological system,,
ae index,missing_in_envo,lake inlet,lake island,water intake
aerosol radiation and cloud processes affecting arctic climate,missing_in_envo,,,
ageostrophic wind,missing_in_envo,atmospheric wind,eutrophic pond,geographic basin
airborne imaging microwave radiometer,missing_in_envo,obsolete mangrove biome,satellite imaging of a planet,microwave radiation
airborne microwave observatory of subcanopy and subsurface,missing_in_envo,,,
airborne multichannel microwave radiometer,missing_in_envo,waterborne particulate matter,marine subtidal rocky reef biome,neritic sea surface microlayer biome
alfven wave,missing_in_envo,live cave,saline water,cave wall
alfven waves,missing_in_envo,live cave,open eaves,eaves
along track scanning radiometer and microwave sounder,missing_in_envo,,,
alpha particle flux,missing_in_envo,particle of silt,particle of clay,nanoplastic particle
alpha radiation,missing_in_envo,radiation,x ray radiation,particle radiation
ambient air quality monitoring program air quality planning and standards office of air and radiation u s environmental protection agency,missing_in_envo,,,
ambient solar wind,missing_in_envo,stellar wind,monsoon wind,glacier wind
anabatic winds,missing_in_envo,anabatic wind,katabatic wind,downslope katabatic wind
antarctic arctic radiation belt dynamic deposition vlf atmospheric research konsortium,missing_in_envo,,,
antarctic meteorology dynamics turbulence and radiation,missing_in_envo,,,
ap index,missing_in_envo,alpine,subalpine,paper dye
arctic radiation ice bridge sea ice experiment,missing_in_envo,,,
arctic radiation measurement in column atmosphere surface,missing_in_envo,,,
