envo_id,envo_uri,label,definition,synonyms,match_score,match_reason,matched_reference_terms
ENVO:01000545,http://purl.obolibrary.org/obo/ENVO_01000545,ionosphere,"The ionosphere is a layer of the Earth's atmosphere which extends from about 60 to 1,000 kilometers above the planetary surface and is ionised by solar radiation. It includes the thermosphere and parts of the mesosphere and exosphere.",ionosphere,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,ionosphere
ENVO:01001194,http://purl.obolibrary.org/obo/ENVO_01001194,magnetosphere,A site in which charged particles are influenced by an astronomical body's magnetic field.,,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,magnetosphere
ENVO:01000821,http://purl.obolibrary.org/obo/ENVO_01000821,photosphere,"An astronomical body part which is composed of those parts of a star, distal from the star's core, from which light is radiated into space.",,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,photosphere
ENVO:01000798,http://purl.obolibrary.org/obo/ENVO_01000798,plasma,"A material entity which is composed of a volume of unbound positive and negative particles in roughly equal numbers, conducts electricity, and possesses internal magnetic fields.",,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,plasma
ENVO:01000541,http://purl.obolibrary.org/obo/ENVO_01000541,thermosphere,"The thermosphere is a part of the earth's atmosphere that begins at about 50 miles (80 kilometers) above the earth's surface, extends to outer space, and is characterized by steadily increasing temperature with height",,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,thermosphere
ENVO:21001216,http://purl.obolibrary.org/obo/ENVO_21001216,ultraviolet radiation,A radiation process during which electromagnetic waves or their quanta are emitted at wavelengths between 10 nm and 400 nm.,UV radiation,100,contains_heliophysics_anchor | exact_label_match | fuzzy_label_match>=0.92 | phrase_match,ultraviolet | ultraviolet radiation
ENVO:02000027,http://purl.obolibrary.org/obo/ENVO_02000027,blood plasma material,"A bodily fluid material which is composed primarily of blood plasma, a bodily fluid that comprises the liquid component of blood, in which the blood cells are suspended. It makes up about 55% of total blood volume.",,90,contains_heliophysics_anchor | phrase_match,plasma
ENVO:01001196,http://purl.obolibrary.org/obo/ENVO_01001196,cosmic ray shielding disposition,A radiation shielding disposition which inheres in a material or immaterial entity which attenuates or blocks cosmic rays.,,90,contains_heliophysics_anchor | phrase_match | token_overlap>=0.60,cosmic ray
ENVO:21001218,http://purl.obolibrary.org/obo/ENVO_21001218,gamma-ray radiation,A radiation process during which penetrating electromagnetic radiation is emitted from the radioactive decay (gamma decay) of atomic nuclei.,,90,contains_heliophysics_anchor | phrase_match | token_overlap>=0.60,gamma ray
ENVO:01001218,http://purl.obolibrary.org/obo/ENVO_01001218,gamma-ray stellar radiation,A stellar radiation process during which penetrating electromagnetic radiation is emitted from the radioactive decay (gamma decay) of atomic nuclei.,gamma-ray solar radiation,90,contains_heliophysics_anchor | domain_token_hits>=3 | phrase_match | token_overlap>=0.60,gamma ray | solar radiation
