term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs,semantically_similar_terms,initial_category,recommended_action,category_rationale,candidate_merged_definition_draft,term_norm,definitions_text_norm,sources_list,strong_hits,weak_hits,farfield_hits,admin_hits,heliophysics_source_hits,category_priority,evidence_strength,relevance_score,workshop_priority_score,exclude_farfield,exclude_low_relevance,manual_include,manual_exclude,selected_for_ranking
agriculture,True,True,False,,"GEMET: The production of plants and animals useful to man, involving soil cultivation and the breeding and management of crops and livestock.; GCMD: The science, art, or practice of cultivating the soil, producing crops, and raising livestock and in varying degrees the preparation and marketing of the resulting products cleared the land to use it for agriculture.",2,1,GCMD | GEMET,2,"GEMET: The production of plants and animals useful to man, involving soil cultivation and the breeding and management of crops and livestock. || GCMD: The science, art, or practice of cultivating the soil, producing crops, and raising livestock and in varying degrees the preparation and marketing of the resulting products cleared the land to use it for agriculture.",GCMD <-> GEMET,agricultural management (0.42) | agriculture framework plan (0.41) | forage crop (0.39) | regulation of agricultural production (0.38) | agricultural disaster (0.36) | agricultural policy (0.35) | farm (0.33) | agricultural product (0.31),Category 4 — Community Resolution Needed,Escalate to working group deliberation,"Strong divergence/polysemy signal across sources (mean=0.21, min=0.00, distinct_superclasses=2)",,agriculture,"gemet: the production of plants and animals useful to man, involving soil cultivation and the breeding and management of crops and livestock.; gcmd: the science, art, or practice of cultivating the soil, producing crops, and raising livestock and in varying degrees the preparation and marketing of the resulting products cleared the land to use it for agriculture.","['gcmd', 'gemet']",0,1,4,0,0,5.0,1.7577796618689756,-7.0,0.4191407143269232,True,True,False,False,False
biological resource,True,False,False,,"GEMET: Wild organisms harvested for subsistence, commerce, or recreation (such as fish, game, timber or furbearers); domesticated organisms raised by agriculture, aquaculture, and silviculture; and ecosystems cropped by livestock.",1,0,GEMET,1,"GEMET: Wild organisms harvested for subsistence, commerce, or recreation (such as fish, game, timber or furbearers); domesticated organisms raised by agriculture, aquaculture, and silviculture; and ecosystems cropped by livestock.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,biological resource,"gemet: wild organisms harvested for subsistence, commerce, or recreation (such as fish, game, timber or furbearers); domesticated organisms raised by agriculture, aquaculture, and silviculture; and ecosystems cropped by livestock.",['gemet'],0,1,4,0,0,1.0,1.1090354888959124,-7.0,0.03571428571428571,True,True,False,False,False
agriculture framework plan,True,False,False,,"GEMET: A formulated or systematic method for the management of soil, crops and livestock.",1,0,GEMET,1,"GEMET: A formulated or systematic method for the management of soil, crops and livestock.",,municipal environment plan (0.57) | environmental plan (0.57) | recovery plan (0.48) | agricultural management (0.48) | tracking plan (0.42) | agriculture (0.41) | forage crop (0.40) | equipment plan (0.37),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,agriculture framework plan,"gemet: a formulated or systematic method for the management of soil, crops and livestock.",['gemet'],0,0,3,0,0,1.0,1.1090354888959124,-6.0,0.041849255039439086,True,True,False,False,False
"agriculture, forestry; animal husbandry; fishery",False,True,False,,"GEMET: AGRICULTURE, FORESTRY; ANIMAL HUSBANDRY; FISHERY",0,1,GEMET,1,"GEMET hierarchy: AGRICULTURE, FORESTRY; ANIMAL HUSBANDRY; FISHERY",,animal production (0.56) | agrometeorology (0.39) | renewable resource (0.38) | food production (agriculture) (0.36),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,"agriculture, forestry; animal husbandry; fishery","gemet: agriculture, forestry; animal husbandry; fishery",['gemet'],0,0,3,0,0,1.0,0.4158883083359672,-6.0,0.006134969325153374,True,True,False,False,False
agricultural land,True,False,False,,"GEMET: Land used primarily for the production of plant or animal crops, including arable agriculture, dairying, pasturage, apiaries, horticulture, floriculture, viticulture, animal husbandry and the necessary lands and structures needed for packing, processing, treating, or storing the produce.",1,0,GEMET,1,"GEMET: Land used primarily for the production of plant or animal crops, including arable agriculture, dairying, pasturage, apiaries, horticulture, floriculture, viticulture, animal husbandry and the necessary lands and structures needed for packing, processing, treating, or storing the produce.",,animal production (0.36),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,agricultural land,"gemet: land used primarily for the production of plant or animal crops, including arable agriculture, dairying, pasturage, apiaries, horticulture, floriculture, viticulture, animal husbandry and the necessary lands and structures needed for packing, processing, treating, or storing the produce.",['gemet'],0,1,3,0,0,1.0,1.1090354888959124,-5.0,0.04798422436459246,True,True,False,False,False
agroforestry,True,False,False,,"GEMET: The interplanting of farm crops and trees, especially leguminous species. In semiarid regions and on denuded hillsides, agroforestry helps control erosion and restores soil fertility, as well as supplying valuable food and commodities at the same time.",1,0,GEMET,1,"GEMET: The interplanting of farm crops and trees, especially leguminous species. In semiarid regions and on denuded hillsides, agroforestry helps control erosion and restores soil fertility, as well as supplying valuable food and commodities at the same time.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,agroforestry,"gemet: the interplanting of farm crops and trees, especially leguminous species. in semiarid regions and on denuded hillsides, agroforestry helps control erosion and restores soil fertility, as well as supplying valuable food and commodities at the same time.",['gemet'],0,1,3,0,0,1.0,1.1090354888959124,-5.0,0.04798422436459246,True,True,False,False,False
degradation of natural resources,True,False,False,,"GEMET: The result of the cumulative activities of farmers, households, and industries, all trying to improve their socio-economic well being. These activities tend to be counterproductive for several reasons. People may not completely understand the long-term consequences of their activities on the natural resource base. The most important ways in which human activity is interfering with the global ecosystem are: a) fossil fuel burning which may double the atmospheric carbon dioxide concentration by the middle of the next century, as well as further increasing the emissions of sulphur and nitrogen very significantly; b) expanding agriculture and forestry and the associated use of fertilizers (nitrogen and phosphorous) are significantly altering the natural circulation of these nutrients; c) increased exploitation of the freshwater system both for irrigation in agriculture and industry and for waste disposal.",1,0,GEMET,1,"GEMET: The result of the cumulative activities of farmers, households, and industries, all trying to improve their socio-economic well being. These activities tend to be counterproductive for several reasons. People may not completely understand the long-term consequences of their activities on the natural resource base. The most important ways in which human activity is interfering with the global ecosystem are: a) fossil fuel burning which may double the atmospheric carbon dioxide concentration by the middle of the next century, as well as further increasing the emissions of sulphur and nitrogen very significantly; b) expanding agriculture and forestry and the associated use of fertilizers (nitrogen and phosphorous) are significantly altering the natural circulation of these nutrients; c) increased exploitation of the freshwater system both for irrigation in agriculture and industry and for waste disposal.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,degradation of natural resources,"gemet: the result of the cumulative activities of farmers, households, and industries, all trying to improve their socio-economic well being. these activities tend to be counterproductive for several reasons. people may not completely understand the long-term consequences of their activities on the natural resource base. the most important ways in which human activity is interfering with the global ecosystem are: a) fossil fuel burning which may double the atmospheric carbon dioxide concentration by the middle of the next century, as well as further increasing the emissions of sulphur and nitrogen very significantly; b) expanding agriculture and forestry and the associated use of fertilizers (nitrogen and phosphorous) are significantly altering the natural circulation of these nutrients; c) increased exploitation of the freshwater system both for irrigation in agriculture and industry and for waste disposal.",['gemet'],0,1,3,0,0,1.0,1.1090354888959124,-5.0,0.04798422436459246,True,True,False,False,False
dry farming,True,False,False,,"GEMET: A system of extensive agriculture allowing the production of crops without irrigation in areas of limited rainfall. Dry farming involves conserving soil moisture through mulching, frequent fallowing, maintenance of a fine tilth by cross-ploughing, repeated working of the soil after rainfall and removal of any weeds that would take up some of the moisture.",1,0,GEMET,1,"GEMET: A system of extensive agriculture allowing the production of crops without irrigation in areas of limited rainfall. Dry farming involves conserving soil moisture through mulching, frequent fallowing, maintenance of a fine tilth by cross-ploughing, repeated working of the soil after rainfall and removal of any weeds that would take up some of the moisture.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,dry farming,"gemet: a system of extensive agriculture allowing the production of crops without irrigation in areas of limited rainfall. dry farming involves conserving soil moisture through mulching, frequent fallowing, maintenance of a fine tilth by cross-ploughing, repeated working of the soil after rainfall and removal of any weeds that would take up some of the moisture.",['gemet'],0,1,3,0,0,1.0,1.1090354888959124,-5.0,0.04798422436459246,True,True,False,False,False
ecotourism,True,False,False,,"GEMET: Excursions to relatively untouched lands, which for the tourist promise the chance to observe unusual wildlife and indigenous inhabitants. The travel industry, in an attempt to market adventure and authenticity to those travellers weary of ""civilisation"" promote travel to environments free of modern technology. Ecotourism's inherent contradiction is the promotion of untouched lands, which immediately become touched by the hands of tourism.; GCMD: Nature-based tourism that promotes the observation, appreciation, and conservation of natural areas and traditional cultures. Ecotourism often contains an educational component and functions to sustain the well-being of local peoples, communities, and economies while minimizing negative impacts to ecosystems.",2,0,GCMD | GEMET,2,"GEMET: Excursions to relatively untouched lands, which for the tourist promise the chance to observe unusual wildlife and indigenous inhabitants. The travel industry, in an attempt to market adventure and authenticity to those travellers weary of ""civilisation"" promote travel to environments free of modern technology. Ecotourism's inherent contradiction is the promotion of untouched lands, which immediately become touched by the hands of tourism. || GCMD: Nature-based tourism that promotes the observation, appreciation, and conservation of natural areas and traditional cultures. Ecotourism often contains an educational component and functions to sustain the well-being of local peoples, communities, and economies while minimizing negative impacts to ecosystems.",GCMD <-> GEMET,,Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.32, min=0.32, distinct_superclasses=2)",,ecotourism,"gemet: excursions to relatively untouched lands, which for the tourist promise the chance to observe unusual wildlife and indigenous inhabitants. the travel industry, in an attempt to market adventure and authenticity to those travellers weary of ""civilisation"" promote travel to environments free of modern technology. ecotourism's inherent contradiction is the promotion of untouched lands, which immediately become touched by the hands of tourism.; gcmd: nature-based tourism that promotes the observation, appreciation, and conservation of natural areas and traditional cultures. ecotourism often contains an educational component and functions to sustain the well-being of local peoples, communities, and economies while minimizing negative impacts to ecosystems.","['gcmd', 'gemet']",0,1,3,0,0,4.0,1.7577796618689756,-5.0,0.3439106529772299,True,True,False,False,False
field damage,True,False,False,,"GEMET: A decline in the productivity of an area of land or in its ability to support natural ecosystems or types of agriculture. Degradation may be caused by a variety of factors, including inappropriate land management techniques, soil erosion, salinity, flooding, clearing, pests, pollution, climatic factors, or progressive urbanization.",1,0,GEMET,1,"GEMET: A decline in the productivity of an area of land or in its ability to support natural ecosystems or types of agriculture. Degradation may be caused by a variety of factors, including inappropriate land management techniques, soil erosion, salinity, flooding, clearing, pests, pollution, climatic factors, or progressive urbanization.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,field damage,"gemet: a decline in the productivity of an area of land or in its ability to support natural ecosystems or types of agriculture. degradation may be caused by a variety of factors, including inappropriate land management techniques, soil erosion, salinity, flooding, clearing, pests, pollution, climatic factors, or progressive urbanization.",['gemet'],0,1,3,0,0,1.0,1.1090354888959124,-5.0,0.04798422436459246,True,True,False,False,False
