term,definitions,hierarchy_paths,sources
(end) user,"['A SWE service (end) user is anyone, a person/institution or an electronic system, that accesses or receives SWE products or services.']",['(End) User'],['ESA Space Weather Glossary']
0,[],['0'],['HELIO Ontology']
12 hour precipitation amount,['The amount of precipitation collected and measured at a weather observing site during a 12 hour period.'],['EARTH SCIENCE -> ATMOSPHERE -> PRECIPITATION -> PRECIPITATION AMOUNT -> 12 HOUR PRECIPITATION AMOUNT'],['GCMD']
24 hour maximum temperature,['The highest temperature reported for a given location during a (24 hour) period.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> SURFACE TEMPERATURE -> MAXIMUM/MINIMUM TEMPERATURE -> 24 HOUR MAXIMUM TEMPERATURE'],['GCMD']
24 hour minimum temperature,['The lowest temperature attained at a specific location during a (24 hour) period.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> SURFACE TEMPERATURE -> MAXIMUM/MINIMUM TEMPERATURE -> 24 HOUR MINIMUM TEMPERATURE'],['GCMD']
24 hour precipitation amount,['The amount of precipitation collected and measured at a weather observing site during a 24 hour period.'],['EARTH SCIENCE -> ATMOSPHERE -> PRECIPITATION -> PRECIPITATION AMOUNT -> 24 HOUR PRECIPITATION AMOUNT'],['GCMD']
3 and 6 hour precipitation amount,['The amount of precipitation collected and measured at a weather observing site during 3 hour and 6 hour periods.'],['EARTH SCIENCE -> ATMOSPHERE -> PRECIPITATION -> PRECIPITATION AMOUNT -> 3 AND 6 HOUR PRECIPITATION AMOUNT'],['GCMD']
6 hour maximum temperature,['The highest temperature reported for a given location during a (6 hour) period.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> SURFACE TEMPERATURE -> MAXIMUM/MINIMUM TEMPERATURE -> 6 HOUR MAXIMUM TEMPERATURE'],['GCMD']
6 hour minimum temperature,['The lowest temperature attained at a specific location during a (6 hour) period.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> SURFACE TEMPERATURE -> MAXIMUM/MINIMUM TEMPERATURE -> 6 HOUR MINIMUM TEMPERATURE'],['GCMD']
aa index,"['A daily and half-daily index of geomagnetic activity determined from the k indices scaled at two nearly antipodal stations at invariant magnetic latitude 50 degrees (Hartland, England, and Canberra, Australia). The aa values are in units of 1 nT. The index is available back to 1868, and is provided by the Institut du Globe de Paris, France.', 'A daily and half daily index of geomagnetic activity determined from the k indexes scaled at two nearly antipodal stations at invariant magnetic latitude 50 degrees (Hartland, England, and Canberra, Australia). The aa values are in units of 1 nT. The index is available back to 1868, and is provided by the Institut de Physique du Globe de Paris, France.']","['aa index', 'AA Index', 'EARTH SCIENCE -> SOLID EARTH -> GEOMAGNETISM -> GEOMAGNETIC INDICES -> AA INDEX']","['Space Weather Glossary', 'Space Weather Glossary (Second)', 'GCMD']"
